名称：Assassin’s Creed® Rogue - Time Saver: Technology Pack 	 发行日期：2015年3月9日 	 评级：褒贬不一 	 评价详情：16 篇用户的游戏评测中有 43% 为好评。 
名称：Trials Fusion - Fault One Zero 	 发行日期：2015年2月24日 	 评级：None 	 评价详情：None 
名称：Far Cry® 4 – Overrun 	 发行日期：2015年2月12日 	 评级：褒贬不一 	 评价详情：27 篇用户的游戏评测中有 51% 为好评。 
名称：The Crew™ Speed Car Pack 	 发行日期：2015年2月12日 	 评级：多半好评 	 评价详情：72 篇用户的游戏评测中有 72% 为好评。 
名称：Grow Home 	 发行日期：2015年2月4日 	 评级：特别好评 	 评价详情：2,648 篇用户的游戏评测中有 93% 为好评。 
名称：Far Cry® 4 – Hurk Deluxe Pack 	 发行日期：2015年1月27日 	 评级：褒贬不一 	 评价详情：45 篇用户的游戏评测中有 48% 为好评。 
名称：The Crew™ Street Edition Pack 	 发行日期：2015年1月27日 	 评级：多半差评 	 评价详情：22 篇用户的游戏评测中有 27% 为好评。 
名称：The Crew™ Extreme Car Pack 	 发行日期：2015年1月20日 	 评级：褒贬不一 	 评价详情：69 篇用户的游戏评测中有 56% 为好评。 
名称：Trials Fusion Demo 	 发行日期：2015年1月5日 	 评级：None 	 评价详情：None 
名称：The Crew™ Season Pass 	 发行日期：2014年12月1日 	 评级：褒贬不一 	 评价详情：189 篇用户的游戏评测中有 41% 为好评。 
名称：The Crew™ 	 发行日期：2014年12月2日 	 评级：褒贬不一 	 评价详情：11,599 篇用户的游戏评测中有 66% 为好评。 
名称：Assassin’s Creed Unity Revolutionary Armaments Pack 	 发行日期：2014年11月28日 	 评级：多半差评 	 评价详情：72 篇用户的游戏评测中有 34% 为好评。 
名称：Far Cry® 4 Season Pass 	 发行日期：2014年11月17日 	 评级：褒贬不一 	 评价详情：200 篇用户的游戏评测中有 55% 为好评。 
名称：Far Cry® 4 	 发行日期：2014年11月 	 评级：多半好评 	 评价详情：15,916 篇用户的游戏评测中有 77% 为好评。 
名称：Assassin's Creed® Unity 	 发行日期：2014年11月12日 	 评级：褒贬不一 	 评价详情：14,115 篇用户的游戏评测中有 58% 为好评。 
名称：Rocksmith® 2014 – Audioslave - “I Am The Highway” 	 发行日期：2014年10月7日 	 评级：None 	 评价详情：None 
名称：Trials Fusion - Welcome to the Abyss 	 发行日期：2014年10月7日 	 评级：None 	 评价详情：None 
名称：Watch_Dogs - Bad Blood 	 发行日期：2014年9月30日 	 评级：特别好评 	 评价详情：159 篇用户的游戏评测中有 84% 为好评。 
名称：Trials Fusion - Empire of the Sky 	 发行日期：2014年8月19日 	 评级：None 	 评价详情：None 
名称：Trials Fusion - Riders of the Rustlands 	 发行日期：2014年7月29日 	 评级：None 	 评价详情：None 
名称：Watch_Dogs - Access Granted Pack 	 发行日期：2014年7月3日 	 评级：褒贬不一 	 评价详情：37 篇用户的游戏评测中有 64% 为好评。 
名称：Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™ 	 发行日期：2014年6月25日 	 评级：好评如潮 	 评价详情：12,387 篇用户的游戏评测中有 95% 为好评。 
名称：Watch_Dogs™ - Season Pass 	 发行日期：2014年5月28日 	 评级：多半好评 	 评价详情：50 篇用户的游戏评测中有 76% 为好评。 
名称：Watch_Dogs™ 	 发行日期：2014年5月27日 	 评级：褒贬不一 	 评价详情：19,349 篇用户的游戏评测中有 66% 为好评。 
名称：Faceted Oculi Pack 	 发行日期：2014年4月30日 	 评级：None 	 评价详情：None 
名称：Stardust Pack 	 发行日期：2014年4月30日 	 评级：多半差评 	 评价详情：10 篇用户的游戏评测中有 30% 为好评。 
名称：Rough Oculi Pack 	 发行日期：2014年4月30日 	 评级：多半差评 	 评价详情：11 篇用户的游戏评测中有 36% 为好评。 
名称：Tumbled Oculi Pack 	 发行日期：2014年4月30日 	 评级：None 	 评价详情：None 
名称：The Golem’s Plight Pack 	 发行日期：2014年4月30日 	 评级：多半好评 	 评价详情：32 篇用户的游戏评测中有 71% 为好评。 
名称：Dark Aurora Pack 	 发行日期：2014年4月30日 	 评级：褒贬不一 	 评价详情：22 篇用户的游戏评测中有 54% 为好评。 
名称：Light Aurora Pack 	 发行日期：2014年4月30日 	 评级：褒贬不一 	 评价详情：18 篇用户的游戏评测中有 44% 为好评。 
名称：Child of Light 	 发行日期：2014年4月30日 	 评级：特别好评 	 评价详情：8,941 篇用户的游戏评测中有 92% 为好评。 
名称：Trials Fusion™ 	 发行日期：2014年4月24日 	 评级：褒贬不一 	 评价详情：1,486 篇用户的游戏评测中有 62% 为好评。 
名称：Trials Fusion Season Pass 	 发行日期：2014年4月24日 	 评级：褒贬不一 	 评价详情：40 篇用户的游戏评测中有 47% 为好评。 
名称：South Park™: The Stick of Truth™ - Ultimate Fellowship Pack 	 发行日期：2014年3月4日 	 评级：褒贬不一 	 评价详情：244 篇用户的游戏评测中有 54% 为好评。 
名称：South Park™: The Stick of Truth™ - Super Samurai Spaceman Pack 	 发行日期：2014年3月4日 	 评级：褒贬不一 	 评价详情：178 篇用户的游戏评测中有 49% 为好评。 
名称：South Park™: The Stick of Truth™ 	 发行日期：2014年3月5日 	 评级：好评如潮 	 评价详情：25,516 篇用户的游戏评测中有 97% 为好评。 
名称：Assassin's Creed Freedom Cry 	 发行日期：2014年2月25日 	 评级：多半好评 	 评价详情：903 篇用户的游戏评测中有 74% 为好评。 
名称：Assassin’s Creed® IV Black Flag™ – Guild of Rogues 	 发行日期：2014年2月11日 	 评级：多半好评 	 评价详情：12 篇用户的游戏评测中有 75% 为好评。 
名称：Might & Magic X - Legacy 	 发行日期：2014年1月23日 	 评级：褒贬不一 	 评价详情：2,057 篇用户的游戏评测中有 66% 为好评。 
名称：Assassin’s Creed® Liberation HD 	 发行日期：2014年1月15日 	 评级：褒贬不一 	 评价详情：1,320 篇用户的游戏评测中有 57% 为好评。 
名称：Assassin’s Creed® Liberation HD - Bonus Pack 	 发行日期：2014年1月15日 	 评级：好评 	 评价详情：22 篇用户的游戏评测中有 81% 为好评。 
名称：Assassin’s Creed®IV Black Flag™ - MP Character Pack: Blackbeard's Wrath 	 发行日期：2013年12月10日 	 评级：None 	 评价详情：None 
名称：Rocksmith® 2014 – Disturbed - “Down with the Sickness” 	 发行日期：2013年12月10日 	 评级：None 	 评价详情：None 
名称：Rocksmith® 2014 – Disturbed - “Voices” 	 发行日期：2013年12月10日 	 评级：None 	 评价详情：None 
名称：Rocksmith® 2014 – Disturbed - “Asylum” 	 发行日期：2013年12月10日 	 评级：None 	 评价详情：None 
名称：Assassin’s Creed® IV Black Flag™ - Time saver: Activities Pack 	 发行日期：2013年11月19日 	 评级：None 	 评价详情：None 
名称：Assassin’s Creed® IV Black Flag™ - Time saver: Collectibles Pack 	 发行日期：2013年11月19日 	 评级：好评 	 评价详情：12 篇用户的游戏评测中有 83% 为好评。 
名称：Assassin’s Creed® IV Black Flag™ 	 发行日期：2013年11月28日 	 评级：特别好评 	 评价详情：20,892 篇用户的游戏评测中有 87% 为好评。 
名称：Assassin’s Creed® IV Black Flag™ - Death Vessel Pack 	 发行日期：2013年11月19日 	 评级：多半好评 	 评价详情：37 篇用户的游戏评测中有 75% 为好评。 
名称：Assassin’s Creed® IV Black Flag™ - Time saver: Resources Pack 	 发行日期：2013年11月19日 	 评级：褒贬不一 	 评价详情：44 篇用户的游戏评测中有 52% 为好评。 
名称：Assassin’s Creed® IV Black Flag™ - Season Pass 	 发行日期： 	 评级：褒贬不一 	 评价详情：20 篇用户的游戏评测中有 60% 为好评。 
名称：Rocksmith® 2014 – B’z Song Pack 	 发行日期：2013年11月19日 	 评级：None 	 评价详情：None 
名称：Rocksmith® 2014 – Green Day - “American Idiot” 	 发行日期：2013年11月19日 	 评级：None 	 评价详情：None 
